Codigo,Texto
P1, considero   adecuados  considero  también  nuevo plan  también  penas  acoplando conociendo  estrategias  pueden servir  conocer  alumnos poco  poco  dando cuenta adecuada  actividad estrategia modificarla agregar insumos estrategias
P2,Si  toma acuerdo  academia
P3,Suficientes no adecuados si acuerdo   posibilidades  insumos puedo proporcionar
p4,mayoría   ocasiones    acordes   contextos
