Codigo,Texto
P1,tiempo destina experimentar menos pretende alguna actividad práctica significativa alumno
P2,Depende actividades desarrollar cada proyecto
P3,necesario alumnos logren comprender  procesos  guiando  encausando  logro  contenidos
P4,Entre media hora hora
,
,
,
,
,
,
