Codigo,Texto
P1,criterios  tomo cuenta  principalmente  respondan contexto implementar actividades  niños  ejemplo puedan llevar  material  puedan realizar dentro  aula realicen tiempo estimado que tenga considerado también tomando cuenta estilos  mayoría  salón ejemplo kinestésico bueno  entonces  actividades  prácticas  recortar colorear moverse
P2,Durante planeación  conocimiento  aprenden alumnos preparo estrategias instrumentos  adicionamientos  utilizo
P3,PDA  contenido trabaja
P4,sean accesibles adquirir especial reuso
