Codigo,Texto
P1, hablando  campo formativo saberes  considero   haber modificaciones   llevan  secuencia  PDA  igual forma  no vienen  explícitos revisas  nuevo programa  tienes  adivinar realmente  tanto abarca  contenido  tanto puedes  tanto  pide ver entonces realmente gustaría  fueran contenidos  concretos  también específicos   vaya viendo   entrelazando  abordando
P2,No  docente debe seguir  plan  estudios  NEM
P3,Si pues  proyectos realizados  propios academia.
P4,Si porque abundan temas no  relevantes
