Codigo,Texto
P1,"Realmente considero  estamos haciendo  agosto pensamos  partimos prácticamente  cero  haber hecho  proyecto  nunca antes haber implementado  entrelazado contenidos PDA los campos formativos entonces, manera  estamos abordando está bien acaso solo alguna propuesta  cambio  ejemplo libretas  pedimos  libreta  campo formativo  también  inicio  agosto septiembre dimos cuenta   niños estaban revolviendo cosas  ciencias naturales  matemáticas  enlazaba  actividad  otra entonces decidimos  todas íbamos  dividir  libretas  sería   adecuaciones  estamos haciendo  largo  ciclo escolar pero  manera  estamos abordando  contenidos   gustado hemos hecho todo  posible  abordar  cuatro campos formativos  asignaturas  conforman cada campo formativo entonces   ha costado trabajo  hemos realizado  trabajo corresponde  único  si hemos notado  ejemplo  problema proyectos actualmente estamos manejando  problema no tanto  contenidos   problemáticas  eligieron  trabajar  hace  contenido no  puedas abordar   puedan relacionar  campos formativos detalle  problemáticas trabajaron dificultan  trabajo  contenidos"
P2,No
P3,Si elegir relevancia
